city,timestamp,temp,pressure,humidity
Canberra,2024-09-04 22:00:00,10.3,1023.0,58
Canberra,2024-09-05 22:00:00,14.4,1023.0,72
Canberra,2024-09-06 22:15:00,15.2,1020.0,67
Canberra,2024-09-07 22:00:00,10.2,1023.0,66
Canberra,2024-09-08 22:15:00,11.1,1018.0,58
Canberra,2024-09-09 22:30:00,8.1,1022.0,66
Canberra,2024-09-10 22:30:00,6.1,1025.0,75
Canberra,2024-09-11 22:00:00,12.3,1022.0,67
Canberra,2024-09-12 22:15:00,6.2,1028.0,81
Canberra,2024-09-13 22:30:00,6.1,1026.0,93
Canberra,2024-09-14 22:30:00,4.3,1025.0,75
Canberra,2024-09-15 22:00:00,4.3,1029.0,60
Canberra,2024-09-16 21:00:00,11.4,1026.0,54
Canberra,2024-09-17 21:00:00,10.4,1022.0,58
Canberra,2024-09-18 20:45:00,14.2,1013.0,28
Canberra,2024-09-19 20:45:00,12.4,1009.0,54
Canberra,2024-09-20 20:45:00,11.3,1010.0,62
Canberra,2024-09-21 20:45:00,11.4,1013.0,54
Canberra,2024-09-22 20:30:00,11.1,1018.0,62
Canberra,2024-09-23 19:45:00,15.2,1020.0,51
Canberra,2024-09-24 19:45:00,19.1,1016.0,30
Canberra,2024-09-25 19:30:00,13.2,1013.0,100
Canberra,2024-09-26 19:30:00,8.1,1023.0,71
Canberra,2024-09-27 19:45:00,6.3,1028.0,75
Canberra,2024-09-28 20:00:00,10.0,1026.0,76
Canberra,2024-09-29 19:30:00,15.3,1020.0,55
Canberra,2024-09-30 19:30:00,14.4,1021.0,63
Canberra,2024-10-01 19:45:00,14.0,1023.0,63
Canberra,2024-10-02 19:30:00,13.0,1030.0,72
Canberra,2024-10-03 19:30:00,14.2,1025.0,59
Canberra,2024-10-04 19:45:00,10.2,1013.0,92
Canberra,2024-10-05 19:30:00,11.7,1009.0,62
Canberra,2024-10-06 20:15:00,10.2,1016.0,71
Canberra,2024-10-07 20:45:00,13.0,1017.0,65
Canberra,2024-10-08 20:45:00,7.0,1026.0,70
Canberra,2024-10-09 20:45:00,7.2,1025.0,76
Canberra,2024-10-10 20:45:00,12.4,1022.0,66
Canberra,2024-10-11 20:45:00,10.4,1022.0,90
Canberra,2024-10-12 20:45:00,7.1,1028.0,84
Canberra,2024-10-13 20:30:00,13.3,1020.0,51
Canberra,2024-10-14 20:30:00,12.2,1021.0,82
Canberra,2024-10-15 20:30:00,7.8,1025.0,76
Canberra,2024-10-16 20:30:00,12.9,1019.0,61
Canberra,2024-10-17 20:30:00,14.4,1014.0,70
Canberra,2024-10-18 20:30:00,15.3,1004.0,94
Canberra,2024-10-19 20:30:00,12.5,1015.0,55
Canberra,2024-10-20 20:30:00,10.2,1022.0,91
Canberra,2024-10-21 20:15:00,9.8,1020.0,82
Canberra,2024-10-22 20:15:00,14.7,1013.0,57
Canberra,2024-10-23 20:15:00,12.6,1010.0,79
Canberra,2024-10-24 20:15:00,7.4,1014.0,64
Canberra,2024-10-25 20:15:00,6.5,1020.0,66
Canberra,2024-10-26 20:15:00,8.5,1019.0,60
Canberra,2024-10-27 20:15:00,12.4,1018.0,46
Canberra,2024-10-28 20:15:00,10.6,1022.0,87
Canberra,2024-10-29 20:00:00,11.7,1022.0,74
Canberra,2024-10-30 20:00:00,14.4,1013.0,47
Canberra,2024-10-31 20:00:00,10.6,1013.0,85
Canberra,2024-11-01 20:15:00,10.2,1020.0,84
Canberra,2024-11-02 20:00:00,13.2,1017.0,76
Canberra,2024-11-03 20:00:00,22.9,1010.0,21
Canberra,2024-11-04 20:00:00,13.2,1015.0,66
Canberra,2024-11-05 19:45:00,15.6,1014.0,76
Canberra,2024-11-06 20:00:00,21.0,1009.0,39
Canberra,2024-11-07 20:00:00,15.3,1010.0,48
Canberra,2024-11-08 20:00:00,11.6,1014.0,42
Canberra,2024-11-09 20:00:00,16.5,1018.0,26
Canberra,2024-11-10 19:45:00,12.3,1023.0,66
Canberra,2024-11-11 20:00:00,14.6,1017.0,74
Canberra,2024-11-12 20:00:00,13.4,1015.0,93
Canberra,2024-11-13 20:00:00,17.3,1013.0,72
Canberra,2024-11-14 20:15:00,14.3,1019.0,82
Canberra,2024-11-15 20:00:00,12.7,1021.0,87
