city,month,year,date,rain,temp_variability,stability_score,realtime_temp,realtime_humidity
Berlin,7,2025,2025-07-06,4398.53,11.312,0.081,23.23,47
Munich,7,2025,2025-07-06,4861.27,10.783,0.085,20.45,63
Hamburg,7,2025,2025-07-06,4654.22,12.119,0.076,17.47,90
Cologne,7,2025,2025-07-06,5279.09,11.459,0.08,16.97,88
Frankfurt,7,2025,2025-07-06,4785.61,11.134,0.082,22.67,43
Stuttgart,7,2025,2025-07-06,4660.19,10.84,0.084,22.3,51
Dusseldorf,7,2025,2025-07-06,4733.23,11.779,0.078,18.79,76
Dresden,7,2025,2025-07-06,5353.25,9.671,0.094,25.91,37
Leipzig,7,2025,2025-07-06,4306.08,10.661,0.086,23.75,46
Hanover,7,2025,2025-07-06,4403.26,10.917,0.084,20.02,64
