city,month,year,date,rain,temp_variability,stability_score,realtime_temp,realtime_humidity
Berlin,7,2025,2025-07-11,4398.53,11.312,0.081,13.48,86.0
Munich,7,2025,2025-07-11,4861.27,10.783,0.085,14.29,83.0
Hamburg,7,2025,2025-07-11,4654.22,12.119,0.076,12.96,94.0
Cologne,7,2025,2025-07-11,5279.09,11.459,0.08,16.67,85.0
Frankfurt,7,2025,2025-07-11,4785.61,11.134,0.082,17.0,78.0
Stuttgart,7,2025,2025-07-11,4660.19,10.84,0.084,14.4,78.0
Dusseldorf,7,2025,2025-07-11,4733.23,11.779,0.078,16.27,86.0
Dresden,7,2025,2025-07-11,5353.25,9.671,0.094,13.2,84.0
Leipzig,7,2025,2025-07-11,4306.08,10.661,0.086,14.76,85.0
Hanover,7,2025,2025-07-11,4403.26,10.917,0.084,14.78,90.0
