city,month,year,date,rain,temp_variability,stability_score,realtime_temp,realtime_humidity
Berlin,7,2025,2025-07-18,4398.53,11.312,0.081,18.29,94.0
Munich,7,2025,2025-07-18,4861.27,10.783,0.085,20.05,65.0
Hamburg,7,2025,2025-07-18,4654.22,12.119,0.076,18.18,93.0
Cologne,7,2025,2025-07-18,5279.09,11.459,0.08,19.37,74.0
Frankfurt,7,2025,2025-07-18,4785.61,11.134,0.082,18.73,71.0
Stuttgart,7,2025,2025-07-18,4660.19,10.84,0.084,18.99,69.0
Dusseldorf,7,2025,2025-07-18,4733.23,11.779,0.078,18.98,77.0
Dresden,7,2025,2025-07-18,5353.25,9.671,0.094,17.4,92.0
Leipzig,7,2025,2025-07-18,4306.08,10.661,0.086,19.08,83.0
Hanover,7,2025,2025-07-18,4403.26,10.917,0.084,17.65,99.0
