city,temp,humidity,pressure,timestamp
Moscou,14.08,58,1009,2025-06-27T07:36:13.961631Z
Moscou,18.44,44,1008,2025-06-27T09:31:22.071839Z
Moscou,18.44,44,1008,2025-06-27T09:32:41.209785Z
Moscou,18.1,45,1008,2025-06-27T09:37:51.718614Z
Moscou,18.47,44,1008,2025-06-27T09:43:06.818987Z
Moscou,18.47,44,1008,2025-06-27T09:45:58.062658Z
Moscou,20.76,43,1008,2025-06-27T14:58:38.107385Z
Moscou,20.72,42,1008,2025-06-27T16:24:34.254008Z
Moscou,19.68,41,1008,2025-06-27T16:28:06.773540Z
Moscou,19.14,41,1008,2025-06-27T16:44:36.150473Z
Moscou,19.14,41,1008,2025-06-27T16:44:47.272035Z
Moscou,20.04,41,1008,2025-06-27T16:53:10.844924Z
Moscou,20.04,41,1008,2025-06-27T16:54:43.296010Z
Moscou,20.04,41,1008,2025-06-27T16:56:05.288471Z
