city,month,year,date,rain,temp_variability,stability_score,realtime_temp,realtime_humidity
Berlin,7,2025,2025-07-07,4398.53,11.312,0.081,19.31,73.0
Munich,7,2025,2025-07-07,4861.27,10.783,0.085,18.37,75.0
Hamburg,7,2025,2025-07-07,4654.22,12.119,0.076,17.8,76.0
Cologne,7,2025,2025-07-07,5279.09,11.459,0.08,17.08,90.0
Frankfurt,7,2025,2025-07-07,4785.61,11.134,0.082,18.82,80.0
Stuttgart,7,2025,2025-07-07,4660.19,10.84,0.084,19.02,80.0
Dusseldorf,7,2025,2025-07-07,4733.23,11.779,0.078,18.32,82.0
Dresden,7,2025,2025-07-07,5353.25,9.671,0.094,21.68,59.0
Leipzig,7,2025,2025-07-07,4306.08,10.661,0.086,20.1,67.0
Hanover,7,2025,2025-07-07,4403.26,10.917,0.084,19.13,78.0
