city,lat,lon,month,year,temp,humidity
Frankfurt,50.1167,8.6833,7,2025,16.42,65
Frankfurt,50.1167,8.6833,7,2025,16.4,65
Frankfurt,50.1167,8.6833,7,2025,16.28,66
