city,date,timestamp,temp_variability,stability_score,realtime_temp,realtime_humidity
Paris,2025-07-02,2025-07-02T15:47:03.019553,7.611232413587729,0.1161273964017151,27.25,60
Berlin,2025-07-02,2025-07-02T15:47:03.032601,8.809612210884852,0.10194082890355127,30.88,39
Tokyo,2025-07-02,2025-07-02T15:47:03.040413,7.690348218948172,0.115070187615685,29.91,63
Rome,2025-07-02,2025-07-02T15:47:03.048755,8.68418864223918,0.10326110291143398,22.74,95
Ottawa,2025-07-02,2025-07-02T15:47:03.055007,11.348421494836547,0.08098201056856917,19.05,86
Madrid,2025-07-02,2025-07-02T15:47:03.059080,9.605229434556751,0.09429310380985598,27.63,41
Canberra,2025-07-02,2025-07-02T15:47:03.063586,6.776343690411177,0.1285951392854557,10.71,75
Pretoria,2025-07-02,2025-07-02T15:47:03.070044,5.008998091218044,0.16641709396803897,14.33,46
Abuja,2025-07-02,2025-07-02T15:47:03.074419,2.946651404386124,0.2533793582297759,24.7,76
Antananarivo,2025-07-02,2025-07-02T15:47:03.078113,4.02061538265291,0.1991787706851977,15.63,56
